datetime,CFFEX.IF1904.open,CFFEX.IF1904.high,CFFEX.IF1904.low,CFFEX.IF1904.close,CFFEX.IF1904.volume,CFFEX.IF1904.open_oi,CFFEX.IF1904.close_oi
2019-03-18 11:04:00.000000000,3797.4,3798.0,3795.0,3796.4,347,56309,56336
2019-03-18 11:05:00.000000000,3796.4,3797.8,3796.0,3796.6,225,56336,56343
2019-03-18 11:06:00.000000000,3796.6,3802.4,3796.6,3800.2,262,56343,56363
2019-03-18 11:07:00.000000000,3800.2,3802.0,3798.4,3801.4,195,56363,56357
2019-03-18 11:08:00.000000000,3801.4,3803.0,3800.2,3802.4,210,56357,56357
2019-03-18 11:09:00.000000000,3802.4,3804.8,3801.0,3804.6,195,56357,56402
2019-03-18 11:10:00.000000000,3804.6,3805.8,3800.2,3801.4,232,56402,56448
2019-03-18 11:11:00.000000000,3801.4,3807.2,3801.0,3804.2,248,56448,56474
2019-03-18 11:12:00.000000000,3804.2,3806.0,3802.0,3804.2,173,56474,56510
2019-03-18 11:13:00.000000000,3804.2,3805.0,3792.8,3792.8,445,56510,56512
2019-03-18 11:14:00.000000000,3792.8,3794.6,3791.2,3793.8,471,56512,56499
2019-03-18 11:15:00.000000000,3793.8,3795.8,3789.2,3790.6,421,56499,56471
2019-03-18 11:16:00.000000000,3790.6,3795.0,3790.6,3793.8,269,56471,56459
2019-03-18 11:17:00.000000000,3793.8,3796.6,3792.6,3796.0,193,56459,56449
2019-03-18 11:18:00.000000000,3796.0,3797.0,3793.4,3795.2,162,56449,56451
2019-03-18 11:19:00.000000000,3795.2,3797.6,3794.8,3797.0,129,56451,56471
2019-03-18 11:20:00.000000000,3797.0,3797.6,3793.6,3794.2,144,56471,56477
2019-03-18 11:21:00.000000000,3794.2,3809.4,3794.2,3808.6,606,56477,56477
2019-03-18 11:22:00.000000000,3808.6,3815.2,3806.6,3810.0,822,56477,56536
2019-03-18 11:23:00.000000000,3810.0,3811.4,3805.0,3807.6,344,56536,56600
2019-03-18 11:24:00.000000000,3807.6,3810.6,3807.6,3810.0,208,56600,56659
2019-03-18 11:25:00.000000000,3810.0,3817.0,3809.6,3815.6,567,56659,56761
